CODE;MNEMONIC;NAME;DESCRIPTION;GROUP;NSI_ID;STARTED;REVOKED;EXP;PWR_VIS;PWR_READ;PWR_ISS;CXT;LEGAL_RELATIONS;LAW_DETAILS;autokey
RSGV01_RSGV_740;RSGV_740;Подача заявлений на получение и переоформление разрешения на хранение и ношение служебного оружия и патронов к нему;Данное полномочие дает право доверенному лицу на подачу заявлений на получение,переоформление и продления разрешения на хранение и ношение служебного оружия и патронов к нему;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_740
RSGV01_RSGV_517;RSGV_517;Подача заявлений на выдачу организации лицензий на приобретение гражданского, служебного оружия и патронов;Данное полномочие дает право доверенному лицу на подачу заявлений на выдачу или переоформление лицензии на приобретение гражданского, служебного оружия и патронов;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_517
RSGV01_RSGV_520;RSGV_520;Подача заявлений на получение и переоформление разрешений на хранение оружия и патронов для организации;Данное полномочие дает право доверенному лицу на подачу заявлений на получение и переоформление разрешений на хранение оружия и патронов для организации;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_520
RSGV01_RSGV_355;RSGV_355;Подача заявлений на получение разрешения на хранение и использование оружия и патронов к нему;Данное полномочие дает право доверенному лицу на подачу заявлений на получение или переоформление разрешения на хранение и использование оружия и патронов к нему, а также получить разрешение с новым сроком взамен ранее выданного.;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_355
RSGV01_RSGV_531;RSGV_531;Подача заявлений на получение и переоформление разрешений на хранение и использование оружия на стрелковом объекте;Данное полномочие дает право доверенному лицу на подачу заявлений на получение и переоформление разрешений на хранение и использование оружия на стрелковом объекте;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_531
RSGV01_RSGV_440;RSGV_440;Подача заявлений для уведомления Росгвардии об оказании охранных услуг или изменении состава учредителей;Данное полномочие дает право доверенному лицу на отправку заявлений для уведомления Росгвардии о начале оказания охранных услуг, об окончания оказания охранных услуг, об изменении состава учредителей или руководителя;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_440
RSGV01_RSGV_533;RSGV_533;Подача заявлений для уведомления Росгвардии о продаже оружия и патронов;Данное полномочие дает право доверенному лицу на подачу заявлений на уведомление Росгвардии о планируемой продаже оружия и патронов;2dc64be1-12ba-49e2-9fe3-a718c1c41250;ESIA;18.07.2023;;;PUB;"[""P"", ""OA"", ""OL""]";"[""P"", ""OA"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_RSGV_533
KLASS_2.0_SIGN_DIG_DOC;SIGN_DIG_DOC;Подписывать электронные документы;Подписывать электронные документы;fe310665-4c32-4a80-982d-90f5ac6b3fce;ESIA;25.07.2023;;;LPB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_SIGN_DIG_DOC
MINTRUD_MIN01;MIN01;Подписание кадровых документов от лица работодателя;Подписание кадровых документов от лица работодателя;a229d23b-a1b1-4746-ae85-7d931491db75;ESIA;27.07.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_MIN01
RFTR_GISP_01;GISP_01;Выполнять юридически значимые действия в Государственная информационная система промышленности (ГИСП);Выполнять юридически значимые действия в ГИСП, в т.ч. регистрация как пользователя ГИСП, подписание электронных документов в ГИСП;316c4c17-b8fc-4809-b0ec-e4970e5af394;MNPT06;02.08.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_GISP_01
FEDRESURS_FED-01;FED-01;Взаимодействие, в том числе включение (внесение) сведений и иные действия связанные с выполнением полномочий, с Единым федеральным реестром сведений о фактах деятельности юридических лиц, включая Единый федеральный реестр сведений о банкротстве;Взаимодействие, в том числе включение (внесение) сведений и иные действия связанные с выполнением полномочий, с Единым федеральным реестром сведений о фактах деятельности юридических лиц, включая Единый федеральный реестр сведений о банкротстве;882d659a-9c43-4826-bc5b-4bf68e1d897e;FEDRESURS;31.12.2022;;;LPB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";Правоотношения, возникающие, изменяющиеся или прекращающиеся при информационном взаимодействии с Единым федеральным реестром сведений о фактах деятельности юридических лиц, включая Единый федеральный реестр сведений о банкротстве;"Приказ Минэкономразвития России от 05.04.2013 N 178; Федеральный закон от 08.08.2001 N 129-ФЗ; Федеральный закон от 26.10.2002 N 127-ФЗ; Иные НПА";POWER_PWR_CLASS_MCHD_ANOTHER_FED-01
FEDRESURS_FED-02;FED-02;Подписание всех документов (сведений) со стороны Единого федерального реестра сведений о фактах деятельности юридических лиц, включая Единый федеральный реестр сведений о банкротстве;Подписание всех документов (сведений) со стороны Единого федерального реестра сведений о фактах деятельности юридических лиц, включая Единый федеральный реестр сведений о банкротстве;882d659a-9c43-4826-bc5b-4bf68e1d897e;FEDRESURS;31.12.2022;;;LPB;"[""P"", ""OL""]";"[""P"", ""OL""]";"{""isRestriction"": false}";Правоотношения, возникающие, изменяющиеся или прекращающиеся при информационном взаимодействии с пользователями Единого федерального реестра сведений о фактах деятельности юридических лиц, включая Единый федеральный реестр сведений о банкротстве;"Приказ Минэкономразвития России от 05.04.2013 N 178; Федеральный закон от 08.08.2001 N 129-ФЗ; Федеральный закон от 26.10.2002 N 127-ФЗ; Иные НПА";POWER_PWR_CLASS_MCHD_ANOTHER_FED-02
BBDOCS_CNTRCT_SRVC_CNNCTN_CNTRCTCNNCTNMLGENERAL;CNTRCTCNNCTNMLGENERAL;Заключать и подписывать договоры услуг почтовой связи;Заключать и подписывать договоры услуг почтовой связи;ff7645f5-5934-46a3-8858-17d663ee81ed;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTCNNCTNMLGENERAL
BBDOCS_CNTRCT_INSRNC_FRSKS_DOCSFRSKS3;DOCSFRSKS3;Подписывать расчеты сумм ущерба, причиненного страховыми случаями;Подписывать расчеты сумм ущерба, причиненного страховыми случаями;67c4ac52-5415-4ad9-b1ed-c4ca55c4ad99;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSFRSKS3
BBDOCS_CNTRCT_INSRNC_LBLT_CNTRCTLBLT27;CNTRCTLBLT27;Заключать и подписывать договоры добровольного страхования гражданской ответственности организаций, эксплуатирующих опасные объекты (по договорам страхования с индивидуальными предпринимателями и юридическими лицами);Заключать и подписывать договоры добровольного страхования гражданской ответственности организаций, эксплуатирующих опасные объекты (по договорам страхования с индивидуальными предпринимателями и юридическими лицами);7411436c-0099-4576-99aa-fc1b16f6f222;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTLBLT27
BBDOCS_CNTRCT_TRFFC_TRNSPRT_CNTRCTTRNSPRT15;CNTRCTTRNSPRT15;Заключать и подписывать договоры на услуги по выдаче посылок на кассах;Заключать и подписывать договоры на услуги по выдаче посылок на кассах;20d9419a-eea2-43a9-ab03-ad64d5fb7b73;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTTRNSPRT15
BBDOCS_CNTRCT_INSRNC_RNSRNC_DOCSRNSRNCGENERAL;DOCSRNSRNCGENERAL;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам перестрахования;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам перестрахования;86cea2ca-18db-4abc-851c-2e3bcc59ea83;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSRNSRNCGENERAL
BBDOCS_CNTRCT_RENT_RLESTT_DOCSRLESTTGENERAL;DOCSRLESTTGENERAL;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам аренды объектов недвижимости;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам аренды объектов недвижимости;d408c552-1b7e-40d4-a0b1-713580fc2878;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSRLESTTGENERAL
BBDOCS_CNTRCT_TRFFC_TRNSPRT_CNTRCTTRNSPRT5;CNTRCTTRNSPRT5;Заключать и подписывать договоры перевозки грузов;Заключать и подписывать договоры перевозки грузов;20d9419a-eea2-43a9-ab03-ad64d5fb7b73;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTTRNSPRT5
BBDOCS_CNTRCT_SALE_RLSTT_DOCSLSRLSTT4;DOCSLSRLSTT4;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам купли-продажи долей в праве общей долевой собственности на недвижимое имущество;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам купли-продажи долей в праве общей долевой собственности на недвижимое имущество;eebd6552-3b72-4ea7-aa53-9e92e6b03f17;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSLSRLSTT4
BBDOCS_CNTRCT_SRVC_AUDIT_DOCSAUDITGENERAL;DOCSAUDITGENERAL;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам на аудиторские услуги;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам на аудиторские услуги;0b564ffe-69d8-4a1e-bb97-dba98002056f;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSAUDITGENERAL
BBDOCS_CNTRCT_DEBT_CRDT_CNTRCTCRDT13;CNTRCTCRDT13;Заключать и подписывать договоры об открытии невозобновляемой кредитной линии;Заключать и подписывать договоры об открытии невозобновляемой кредитной линии;b10a109c-ded0-412b-8ecf-9ebd1cbe2b62;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTCRDT13
BBDOCS_DOCS_DCSALL_SRCDOC_SOURCEDOCS14;SOURCEDOCS14;Подписывать акт о приемке выполненных работ (КС-2);Подписывать акт о приемке выполненных работ (КС-2);a0456f38-50b2-44e1-8998-2d3bbf5cb67b;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_SOURCEDOCS14
BBDOCS_CNTRCT_SRVC_BLD_CNTRCTBLD20;CNTRCTBLD20;Заключать и подписывать договоры на выполнение проектных работ;Заключать и подписывать договоры на выполнение проектных работ;07fefdc1-7917-4b32-85ed-4ffaa4e7f7dd;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTBLD20
BBDOCS_CNTRCT_INSRNC_LBLT_CNTRCTLBLT60;CNTRCTLBLT60;Заключать и подписывать договоры добровольного страхования гражданской ответственности заемщиков по договорам потребительского кредита (займа), в том числе, обеспеченным ипотекой;Заключать и подписывать договоры добровольного страхования гражданской ответственности заемщиков по договорам потребительского кредита (займа), в том числе, обеспеченным ипотекой;7411436c-0099-4576-99aa-fc1b16f6f222;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTLBLT60
BBDOCS_CNTRCT_AGENCY_AGNC_CNTRCTAGNC1;CNTRCTAGNC1;Заключать и подписывать агентские договоры на корпоративные карты;Заключать и подписывать агентские договоры на корпоративные карты;61240e58-99bf-4567-bd8a-8a006a0fcd24;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTAGNC1
BBDOCS_CNTRCT_INSRNC_LBLT_CNTRCTLBLT65;CNTRCTLBLT65;Заключать и подписывать договоры добровольного страхования гражданской ответственности владельцев таможенных складов и складов временного хранения;Заключать и подписывать договоры добровольного страхования гражданской ответственности владельцев таможенных складов и складов временного хранения;7411436c-0099-4576-99aa-fc1b16f6f222;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTLBLT65
BBDOCS_CNTRCT_SRVC_LC_DOCSLC1;DOCSLC1;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам (соглашениям) об открытии аккредитивов;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам (соглашениям) об открытии аккредитивов;7a5ffd3a-293f-4790-bf2c-cfd68323984e;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSLC1
BBDOCS_CNTRCT_INSRNC_PRSNL_CNTRCTPRSNL37;CNTRCTPRSNL37;Заключать и подписывать договоры добровольного медицинское страхование работодателем своих работников;Заключать и подписывать договоры добровольного медицинское страхование работодателем своих работников;0d48ab1a-4b17-4642-ae78-b93ef7e33537;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTPRSNL37
BBDOCS_CNTRCT_SRVC_NBLMTL_CNTRCTNBLMRL2;CNTRCTNBLMRL2;Заключать и подписывать договоры на размещение драгоценных металлов;Заключать и подписывать договоры на размещение драгоценных металлов;fbe2dd7e-8e22-482b-8324-5dab978c5752;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTNBLMRL2
BBDOCS_CNTRCT_SRVC_HR_CNTRCTHR8;CNTRCTHR8;Заключать и подписывать договоры о производственной практике;Заключать и подписывать договоры о производственной практике;895a318c-813a-4c16-8a87-01d988872ee9;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTHR8
BBDOCS_CNTRCT_SRVC_BLD_CNTRCTBLD4;CNTRCTBLD4;Заключать и подписывать договоры оказания услуг по сбору, транспортировке и размещению отходов;Заключать и подписывать договоры оказания услуг по сбору, транспортировке и размещению отходов;07fefdc1-7917-4b32-85ed-4ffaa4e7f7dd;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTBLD4
BBDOCS_CNTRCT_LBR_LABOUR_DOCSLABOUR9;DOCSLABOUR9;Подписывать локальные документы по охране труда;Подписывать локальные документы по охране труда;0179f22b-7d58-48d7-bfae-bb032cc13aaf;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSLABOUR9
